SMILES,Optimized_SMILES,MW_Original,MW_Optimized,LogP_Original,LogP_Optimized,SA,Fitness_Optimized
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2=C34,O=CC1=CC(F)=CC=C1I,202.256,250.01,4.584000000000002,2.2428,2.6,99.73280000000001
N#CC1=CC2=[N+]([O-])ON=C2C([N+](=O)[O-])=C1,O=CC1=CC(F)=CC=C1I,206.117,250.01,0.2410799999999998,2.2428,2.5,99.73280000000001
C1=C2CCC3=C2C2=C(C=C3)SSC2=C1,IC1=CSSS1,216.33,248.135,4.0512000000000015,3.2635000000000005,2.4,97.3715
BrC1=CC(F)=CC(Cl)=C1,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,209.445,245.876,3.241600000000001,2.5166,1.9,95.85940000000001
CC(C)(C)CI,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,198.047,245.876,2.4675,2.5166,1.6,95.85940000000001
IC1=CC=CC=C1F,II,222.0,253.808,2.430300000000001,1.7714,1.8,95.46340000000001
FC1=CC(F)=C(F)C(I)=C1F,BrC1=CC=C(F)C=C1Br,275.97,253.896,2.8476,3.3507000000000007,2.1,95.25330000000001
C1=CSC(=C2SC=CS2)S1,BrCCCCCCBr,204.366,243.97,4.0154000000000005,3.3366000000000025,2.0,93.1334
BrC1=C2C=CC=CC2=CC2=CC=CC=C12,BrCCCCCCBr,257.13000000000005,243.97,4.755500000000002,3.3366000000000025,2.5,93.1334
NC(=O)C(Br)(Br)Br,IC1=CC(Cl)=CC=C1F,295.756,256.445,1.3102,3.0837000000000003,1.7,92.97130000000001
